,Churn,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling
4987,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
4988,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
4989,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes
4990,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
4991,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No
4992,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No
4993,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
4994,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes
4995,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
4996,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
4997,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No
4998,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes
4999,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
5000,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
5001,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No
5002,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No
5003,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes
5004,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No
5005,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes
5006,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes
5007,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No
5008,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No
5009,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes
5010,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes
5011,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No
5012,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No
5013,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No
5014,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No
5015,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes
5016,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
5017,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No
5018,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
5019,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes
5020,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes
5021,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes
5022,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
5023,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No
5024,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No
5025,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No
5026,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
5027,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes
5028,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
5029,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No
5030,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No
5031,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No
5032,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No
5033,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No
5034,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
5035,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes
5036,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
5037,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
5038,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
5039,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No
5040,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No
5041,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
5042,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
5043,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
5044,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No
5045,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes
5046,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
5047,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
5048,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
5049,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes
5050,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
5051,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes
5052,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes
5053,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
5054,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No
5055,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes
5056,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No
5057,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes
5058,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No
5059,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
5060,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No
5061,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes
5062,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes
5063,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No
5064,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No
5065,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes
5066,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
5067,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5068,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes
5069,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes
5070,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No
5071,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
5072,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No
5073,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
5074,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes
5075,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
5076,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes
5077,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
5078,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes
5079,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
5080,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
5081,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No
5082,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes
5083,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes
5084,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No
5085,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
5086,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
5087,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No
5088,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
5089,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No
5090,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
5091,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No
5092,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
5093,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
5094,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
5095,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes
5096,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes
5097,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes
5098,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
5099,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
5100,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No
5101,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No
5102,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No
5103,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
5104,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes
5105,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes
5106,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No
5107,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No
5108,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No
5109,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes
5110,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
5111,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes
5112,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No
5113,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes
5114,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes
5115,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes
5116,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No
5117,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes
5118,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes
5119,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes
5120,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
5121,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes
5122,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
5123,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
5124,No,No,No,No,No,No,No,No,No,No,Yes,No,No
5125,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No
5126,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No
5127,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes
5128,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes
5129,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes
5130,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes
5131,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
5132,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes
5133,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes
5134,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes
5135,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes
5136,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes
5137,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No
5138,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
5139,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No
5140,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No
5141,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
5142,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes
5143,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
5144,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
5145,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
5146,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No
5147,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes
5148,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes
5149,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes
5150,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
5151,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No
5152,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No
5153,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
5154,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes
5155,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes
5156,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No
5157,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
5158,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
5159,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes
5160,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No
5161,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes
5162,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
5163,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No
5164,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes
5165,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
5166,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes
5167,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
5168,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes
5169,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes
5170,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No
5171,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No
5172,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No
5173,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes
5174,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes
5175,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
5176,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
5177,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes
5178,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes
5179,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No
5180,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes
5181,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes
5182,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes
5183,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No
5184,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No
5185,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No
5186,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes
5187,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
5188,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes
5189,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
5190,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes
5191,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
5192,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No
5193,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No
5194,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes
5195,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5196,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
5197,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
5198,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
5199,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No
5200,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
5201,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No
5202,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No
5203,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
5204,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes
5205,No,No,No,No,No,No,No,No,No,No,No,Yes,No
5206,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
5207,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No
5208,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5209,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No
5210,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
5211,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No
5212,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
5213,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes
5214,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes
5215,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes
5216,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No
5217,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes
5218,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
5219,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
5220,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
5221,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes
5222,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
5223,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No
5224,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes
5225,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No
5226,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes
5227,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes
5228,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes
5229,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No
5230,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No
5231,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No
5232,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No
5233,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
5234,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No
5235,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes
5236,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
5237,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
5238,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
5239,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
5240,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes
5241,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes
5242,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
5243,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes
5244,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes
5245,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
5246,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No
5247,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No
5248,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No
5249,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes
5250,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes
5251,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No
5252,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes
5253,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No
5254,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
5255,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No
5256,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
5257,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5258,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes
5259,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
5260,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No
5261,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No
5262,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
5263,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No
5264,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No
5265,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No
5266,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
5267,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
5268,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
5269,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
5270,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes
5271,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes
5272,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No
5273,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
5274,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes
5275,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
5276,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
5277,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes
5278,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes
5279,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes
5280,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No
5281,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
5282,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No
5283,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes
5284,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes
5285,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes
5286,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes
5287,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No
5288,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes
5289,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes
5290,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No
5291,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
5292,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes
5293,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No
5294,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes
5295,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No
5296,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes
5297,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes
5298,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes
5299,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes
5300,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
5301,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
5302,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No
5303,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
5304,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes
5305,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No
5306,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
5307,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No
5308,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes
5309,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No
5310,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes
5311,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes
5312,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes
5313,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No
5314,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
5315,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
5316,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes
5317,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
5318,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes
5319,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No
5320,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes
5321,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
5322,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
5323,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes
5324,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No
5325,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes
5326,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes
5327,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes
5328,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
5329,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes
5330,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes
5331,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No
5332,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes
